time,a.s.x,a.s.y,a.v.x,a.v.y,a.a.x,a.a.y,b.s.x,b.s.y,b.v.x,b.v.y,b.a.x,b.a.y
0,0,0,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0001,1.00E-05,1.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0002,2.00E-05,2.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0003,3.00E-05,3.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0004,4.00E-05,4.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0005,5.00E-05,5.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0006,6.00E-05,6.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0007,7.00E-05,7.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0008,8.00E-05,8.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0009,9.00E-05,9.00E-05,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.001,0.0001,0.0001,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0011,0.00011,0.00011,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0012,0.00012,0.00012,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0013,0.00013,0.00013,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0014,0.00014,0.00014,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0015,0.00015,0.00015,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0016,0.00016,0.00016,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0017,0.00017,0.00017,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0018,0.00018,0.00018,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0019,0.00019,0.00019,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.002,0.0002,0.0002,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0021,0.00021,0.00021,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0022,0.00022,0.00022,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0023,0.00023,0.00023,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0024,0.00024,0.00024,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0025,0.00025,0.00025,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0026,0.00026,0.00026,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0027,0.00027,0.00027,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0028,0.00028,0.00028,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0029,0.00029,0.00029,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.003,0.0003,0.0003,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0031,0.00031,0.00031,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0032,0.00032,0.00032,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0033,0.00033,0.00033,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0034,0.00034,0.00034,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0035,0.00035,0.00035,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0036,0.00036,0.00036,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0037,0.00037,0.00037,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0038,0.00038,0.00038,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.0039,0.00039,0.00039,0.1,0.1,0,0,0.2,0.18,0,0,0,0
0.004,0.0004,0.0004,0.1,0.1,0,0,0.2,0.18,0,0,0,0
